P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2014-03-27,767951,303116844
" ANTIOCH",2014-03-28,1648157,304765001
" ANTIOCH",2014-03-31,406000,305171001
" ANTIOCH",2014-04-01,80000,305251001
" ANTIOCH",2014-04-02,397460,305648461
" ANTIOCH",2014-04-03,243400,305891861
" ANTIOCH",2014-04-04,1192950,307084811
" ANTIOCH",2014-04-08,149000,307233811
" ANTIOCH",2014-04-09,7743528,314977339
" ANTIOCH",2014-04-10,474224,315451563
" ANTIOCH",2014-04-11,1435608,316887171
" ANTIOCH",2014-04-14,537900,317425071
" ANTIOCH",2014-04-15,850950,318276021
" ANTIOCH",2014-04-16,462600,318738621
" ANTIOCH",2014-04-17,625000,319363621
" ANTIOCH",2014-04-18,759130,320122751
" ANTIOCH",2014-04-21,564900,320687651
" ANTIOCH",2014-04-22,67814,320755465
" ANTIOCH",2014-04-23,131000,320886465
" ANTIOCH",2014-04-24,288500,321174965
" ANTIOCH",2014-04-25,1145207,322320172
" ANTIOCH",2014-04-28,835400,323155572
" ANTIOCH",2014-04-29,869900,324025472
" ANTIOCH",2014-04-30,1778650,325804122
" ANTIOCH",2014-05-01,862901,326667023
" ANTIOCH",2014-05-02,536915,327203938
" ANTIOCH",2014-05-05,357000,327560938
" ANTIOCH",2014-05-06,299800,327860738
" ANTIOCH",2014-05-07,397500,328258238
" ANTIOCH",2014-05-08,470500,328728738
" ANTIOCH",2014-05-09,1089410,329818148
" ANTIOCH",2014-05-12,787700,330605848
" ANTIOCH",2014-05-13,366500,330972348
" ANTIOCH",2014-05-14,314900,331287248
" ANTIOCH",2014-05-15,1417190,332704438
" ANTIOCH",2014-05-16,577800,333282238
" ANTIOCH",2014-05-19,1552250,334834488
" ANTIOCH",2014-05-21,792500,335626988
" ANTIOCH",2014-05-22,333700,335960688
" ANTIOCH",2014-05-23,1329644,337290332
" ANTIOCH",2014-05-27,609800,337900132
" ANTIOCH",2014-05-28,149900,338050032
" ANTIOCH",2014-05-29,414500,338464532
" ANTIOCH",2014-05-30,871800,339336332
" ANTIOCH",2014-06-02,703900,340040232
" ANTIOCH",2014-06-03,492347,340532579
" ANTIOCH",2014-06-04,312500,340845079
" ANTIOCH",2014-06-05,1273750,342118829
" ANTIOCH",2014-06-06,1676234,343795063
" ANTIOCH",2014-06-09,655661,344450724
" ANTIOCH",2014-06-10,420669,344871393
" ANTIOCH",2014-06-11,448500,345319893
" ANTIOCH",2014-06-12,429500,345749393
" ANTIOCH",2014-06-13,58150763,403900156
" ANTIOCH",2014-06-16,321500,404221656
" ANTIOCH",2014-06-17,361900,404583556
" ANTIOCH",2014-06-18,841700,405425256
" ANTIOCH",2014-06-19,632045,406057301
" ANTIOCH",2014-06-20,1878521,407935822
" ANTIOCH",2014-06-23,616900,408552722
" ANTIOCH",2014-06-24,496367,409049089
" ANTIOCH",2014-06-25,795585,409844674
" ANTIOCH",2014-06-26,1156880,411001554
" ANTIOCH",2014-06-27,1864016,412865570
" ANTIOCH",2014-06-30,3071770,415937340
" ANTIOCH",2014-07-01,983481,416920821
" ANTIOCH",2014-07-02,295000,417215821
" ANTIOCH",2014-07-03,592800,417808621
" ANTIOCH",2014-07-07,98000,417906621
" ANTIOCH",2014-07-08,1363391,419270012
" ANTIOCH",2014-07-09,660976,419930988
" ANTIOCH",2014-07-10,699865,420630853
" ANTIOCH",2014-07-11,1899200,422530053
" ANTIOCH",2014-07-14,230000,422760053
" ANTIOCH",2014-07-15,1063933,423823986
" ANTIOCH",2014-07-16,496000,424319986
" ANTIOCH",2014-07-17,780000,425099986
" ANTIOCH",2014-07-18,1324179,426424165
" ANTIOCH",2014-07-21,531728,426955893
" ANTIOCH",2014-07-23,397500,427353393
" ANTIOCH",2014-07-24,526400,427879793
" ANTIOCH",2014-07-25,2555150,430434943
" ANTIOCH",2014-07-28,1212900,431647843
" ANTIOCH",2014-07-29,1005501,432653344
" ANTIOCH",2014-07-30,943506,433596850
" ANTIOCH",2014-07-31,1455890,435052740
" ANTIOCH",2014-08-01,1493599,436546339
